,0
0,-1.0361658565681207
1,-1.1094333071945919
2,-0.9836081229577447
3,-1.0043162876614598
4,-1.405954080023803
5,-1.2897048268610265
6,-1.117084056407868
7,-1.5091814990893802
8,-1.9384237367472954
9,-1.4823956831246476
10,-1.6449710818687782
11,-1.5860774844515182
12,-1.493244366239732
13,-1.415158970381228
14,-0.8837151034375362
15,-1.7072935515546277
16,-1.7006277755996453
17,-1.252195596862474
18,-1.5936667111703546
19,-1.518332583434136
20,-1.0262818308140036
21,-0.6083301839197311
22,-1.0820051981386576
23,-0.8678218017146858
24,-1.0331243725519919
25,-2.016859280661236
26,-1.6332262724124555
27,-1.1806043693031718
28,-1.4370216994378324
29,-0.8932842909351917
30,-0.2279610527688988
31,-1.457216976535231
32,-1.7793579044622054
33,-1.2443045481082393
34,-1.606222732912921
35,-1.5888160319496132
36,-1.6423575751996262
37,-2.4510179939343923
38,-0.9518225310588101
39,-2.190474958719942
